Cruise,Station,Date,Latitude,Longitude,Depth [m],Sample,PO4,N+N,Silicate,NO2,NH4,NO3,Temperature_degC,Salinity,Density,Sigmatheta,Chl_a,O2
   FK160115,1,      2016/01/17,17,-155.5,20,1,0.21,0.1,1.64,0.03,0.11,0.07,25.537,34.385,1022.8,22.713,0.0485,208.28
   FK160115,1,      2016/01/17,17,-155.5,40,2,0.17,0.09,1.46,0.02,0.15,0.07,25.435,34.456,1023,22.799,0.0712,208.37
   FK160115,1,      2016/01/17,17,-155.5,79,3,0.19,0.03,1.64,0.01,0.01,0.01,25.385,34.484,1023.2,22.838,0.1068,209.33
   FK160115,1,      2016/01/17,17,-155.5,124,4,0.21,0.72,2,0.09,0.08,0.64,20.976,35.099,1025.1,24.584,0.3853,209.43
   FK160115,1,      2016/01/17,17,-155.5,200,5,1.06,13.52,12.02,0.04,0.03,13.48,13.924,34.312,1026.6,25.675,0.0034,178.61
   FK160115,1,      2016/01/17,17,-155.5,249,6,1.81,21.28,22.03,0.03,0.09,21.25,10.946,34.235,1027.3,26.216,0.0212,90.78
   FK160115,1,      2016/01/17,17,-155.5,299,7,2.74,36.23,42.61,0.03,0.07,36.2,9.9843,34.456,1027.9,26.529,0.0268,34.94
   FK160115,1,      2016/01/17,17,-155.5,399,8,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,9.024,34.529,1028.6,26.752,0.0437,14.43
   FK160115,1,      2016/01/17,17,-155.5,600,9,3.01,40.48,63,0.03,0.11,40.45,7.0834,34.496,1029.8,27.019,0.0358,16.63
   FK160115,1,      2016/01/17,17,-155.5,999,10,3.05,41.43,95.58,0.03,0.1,41.4,4.6626,34.526,1032,27.346,     NaN,34.39
   FK160115,1,      2016/01/17,17,-155.5,1500,11,3.1,43.32,129.8,0.03,0.09,43.3,3.1172,34.579,1034.5,27.549,     NaN,56.833
   FK160115,3,      2016/01/19,11.9995,-155.45,11,1,0.18,0.14,1.76,0.03,0.03,0.11,25.741,34.395,1022.7,22.657,0.2022,206.61
   FK160115,3,      2016/01/19,11.9995,-155.45,20,2,0.17,0.14,1.77,0.03,0.01,0.11,25.742,34.395,1022.7,22.657,0.1925,208.19
   FK160115,3,      2016/01/19,11.9995,-155.45,40,3,0.17,0.08,1.59,0.04,0.01,0.04,25.741,34.395,1022.8,22.659,0.1962,207.84
   FK160115,3,      2016/01/19,11.9995,-155.45,60,4,0.16,0.08,1.59,0.03,0.05,0.04,25.704,34.396,1022.9,22.672,0.281,208.42
   FK160115,3,      2016/01/19,11.9995,-155.45,81,5,0.17,0.07,1.59,0.02,0.01,0.05,21.906,34.937,1024.5,24.198,0.4605,215.57
   FK160115,3,      2016/01/19,11.9995,-155.45,101,6,0.28,0.14,2.51,0.04,0.06,0.1,19.791,34.801,1025.1,24.668,0.6289,200.66
   FK160115,3,      2016/01/19,11.9995,-155.45,126,7,0.81,8.82,6.92,0.51,0.01,8.31,16.564,34.512,1025.8,25.201,0.293,164.17
   FK160115,3,      2016/01/19,11.9995,-155.45,150,8,1.42,18.01,15.9,0.04,0.05,17.97,13.13,34.292,1026.5,25.824,0.1682,136.22
   FK160115,3,      2016/01/19,11.9995,-155.45,175,9,2.05,25.26,25.06,0.04,0.06,25.22,11.373,34.327,1027,26.185,0.0599,82.75
   FK160115,3,      2016/01/19,11.9995,-155.45,200,10,2.24,28.56,29.28,0.05,0.05,28.51,10.65,34.415,1027.3,26.389,0.0246,61.92
   FK160115,3,      2016/01/19,11.9995,-155.45,251,11,2.53,32.89,34.05,0.04,0.02,32.85,9.8938,34.491,1027.7,26.577,0.0148,34.05
   FK160115,3,      2016/01/19,11.9995,-155.45,502,12,2.86,39.42,51.09,0.04,0.13,39.38,7.7839,34.551,1029.3,26.96,0.0354,31.55
   FK160115,4,      2016/01/19,10,-156,19,1,0.11,0.14,1.76,0.03,0.03,0.11,27.079,34.213,1022.2,22.101,0.1516,201.23
   FK160115,4,      2016/01/19,10,-156,39,2,0.13,0.21,1.76,0.03,0.02,0.18,27.074,34.213,1022.3,22.103,0.1979,201.3
   FK160115,4,      2016/01/19,10,-156,59,3,0.14,0.27,1.75,0.03,0.02,0.24,27.078,34.213,1022.4,22.104,0.1915,201.92
   FK160115,4,      2016/01/19,10,-156,79,4,1.45,16.62,13.12,0.2,0.13,16.43,18.311,34.354,1025,24.7,1.1187,168.16
   FK160115,4,      2016/01/19,10,-156,124,5,2.59,33.23,28.52,0.11,0.03,33.12,12.091,34.564,1026.8,26.236,0.3223,32.95
   FK160115,4,      2016/01/19,10,-156,200,6,2.63,36.1,31.82,0.04,0.01,36.06,10.856,34.721,1027.5,26.589,0.0241,5.52
   FK160115,4,      2016/01/19,10,-156,250,7,     NaN,     NaN,     NaN,     NaN,     NaN,     NaN,10.415,34.709,1027.8,26.657,0.0416,4.19
   FK160115,4,      2016/01/19,10,-156,300,8,2.73,36.89,35.49,0.04,0.01,36.85,9.9687,34.688,1028.1,26.717,0.0463,2.96
   FK160115,4,      2016/01/19,10,-156,399,9,2.87,37.8,41.91,0.04,0.02,37.76,8.9881,34.629,1028.6,26.837,0.0503,6.88
   FK160115,4,      2016/01/19,10,-156,499,10,2.98,39.24,49.98,0.04,0.01,39.2,8.0126,34.58,1029.2,26.949,0.048,11.77
   FK160115,4,      2016/01/19,10,-156,599,11,3.01,40.74,58.42,0.04,0.03,40.7,7.0322,34.547,1029.8,27.065,0.0434,19.66
   FK160115,4,      2016/01/19,10,-156,1000,12,3.09,42.82,91.08,0.03,0,42.79,4.5975,34.559,1032,27.38,0.0329,51.57
   FK160115,5,      2016/01/20,8,-156,19,1,0.12,0.1,1.46,0.03,0.14,0.07,28.063,33.972,1021.7,21.602,0.0745,196.44
   FK160115,5,      2016/01/20,8,-156,40,2,0.15,0.05,1.47,0.02,0.03,0.03,28.047,33.971,1021.8,21.608,0.0807,198.12
   FK160115,5,      2016/01/20,8,-156,60,3,0.13,0.18,1.47,0.02,0.11,0.16,28.03,33.974,1021.9,21.617,0.0818,197.09
   FK160115,5,      2016/01/20,8,-156,100,4,1.36,15.72,13.01,0.25,0.23,15.46,16.107,34.55,1025.8,25.361,0.9747,135.38
   FK160115,5,      2016/01/20,8,-156,124,5,2.33,30.08,25.28,0.37,0.04,29.71,12.565,34.559,1026.7,26.139,0.3035,37.58
   FK160115,5,      2016/01/20,8,-156,200,6,2.52,35.82,32.24,0.02,0.02,35.79,10.644,34.698,1027.5,26.608,0.0309,14.66
